family,kernel,variant,input_isa,output_isa,mca_fused_uop,mca_total,machine,label,label_type,kernel_metric,bit_exact,report
,best10,iab-100f-920b,mixed,mixed,,,920B,0.4,e2e_100f,,yes,reports/interp8-ir-920b-20260816.txt
bundle,best9,best9,mixed,mixed,,,920B,-2.02,e2e_100f,,yes,docs/59-handoff-20260816.md
bundle,best9,best9,mixed,mixed,,,N1,-1.52,e2e_100f,,yes,docs/59-handoff-20260816.md
bundle,best9,best9-128,mixed,mixed,,,710,-1.53,e2e_100f,,yes,docs/59-handoff-20260816.md
,best9,best9-internal-100f,mixed,mixed,,,920B,-1.8,e2e_100f,,yes,reports/best9-920b-internal-20260816.txt
,best9,best9-internal-30f,mixed,mixed,,,920B,-1.85,e2e_30f,,yes,reports/best9-920b-internal-20260816.txt
bundle,best9,four-arm-100f,mixed,mixed,,,N1,-0.25,e2e_100f,,yes,reports/four-arm-n1-100f-20260816.txt
,best9,iab-100f-920b,mixed,mixed,,,920B,-2.17,e2e_100f,,yes,reports/interp8-ir-920b-20260816.txt
,best9,iab-100f-920b,mixed,mixed,,,920B,-2.32,e2e_100f,,yes,reports/interp8-ir-920b-20260816.txt
,best9,inject-100f-710,mixed,mixed,,,710,-1.43,e2e_100f,,yes,reports/710-dct-ir-additivity-20260816.txt
,best9,inject-100f-710-r2,mixed,mixed,,,710,-1.69,e2e_100f,,yes,reports/710-dct-ir-additivity-20260816.txt
,best9,inject-100f-920b-r3,mixed,mixed,,,920B,-2.46,e2e_100f,,yes,reports/best9-noremain-920b-interleaved-20260817.txt
,best9,inject-100f-n1,mixed,mixed,,,N1,-1.44,e2e_100f,,yes,reports/n1-four-arm-inject-20260816.txt
,best9,interleaved-100f-710,mixed,mixed,,,710,0.09,e2e_100f,,yes,reports/interp8-ir-710-20260816.txt
,best9,ldpreload-100f-710,mixed,mixed,,,710,0.23,e2e_100f,,yes,reports/710-best9-ir-hpp-additivity-20260816.txt
,best9,ldpreload-100f-710-noremain,mixed,mixed,,,710,0.07,e2e_100f,,yes,reports/best9-noremain-710-interleaved-20260817.txt
bundle,best9,three-arm-100f,mixed,mixed,,,710,-0.16,e2e_100f,,yes,reports/710-three-arm-100f-20260816.txt
bundle,best9-ir-dct,four-arm-100f,mixed,mixed,,,N1,-0.1,e2e_100f,,yes,reports/four-arm-n1-100f-20260816.txt
,best9-ir-dct,inject-100f-710,mixed,mixed,,,710,-2.32,e2e_100f,,yes,reports/710-dct-ir-additivity-20260816.txt
,best9-ir-dct,inject-100f-710-r2,mixed,mixed,,,710,-2.39,e2e_100f,,yes,reports/710-dct-ir-additivity-20260816.txt
,best9-ir-dct,inject-100f-n1,mixed,mixed,,,N1,-2.93,e2e_100f,,yes,reports/n1-four-arm-inject-20260816.txt
bundle,best9-ir-dct,three-arm-100f,mixed,mixed,,,710,-0.24,e2e_100f,,yes,reports/710-three-arm-100f-20260816.txt
,best9-ir-hpp,ldpreload-100f-710,mixed,mixed,,,710,0.12,e2e_100f,,yes,reports/710-best9-ir-hpp-additivity-20260816.txt
,best9-noremain,inject-100f-710-freeze,mixed,mixed,,,710,-1.63,e2e_100f,,yes,reports/710-best9-noremain-ir-dct-freeze-20260817.txt
,best9-noremain,inject-100f-710-freeze-r2,mixed,mixed,,,710,-1.42,e2e_100f,,yes,reports/710-best9-noremain-ir-dct-freeze-20260817.txt
